course_number,course_name,course_supervisor(s),days1,times1,days2,times2,ta_assigned,ta_needed,workload_1,workload_2,workload_3,workload_4
MATH:3720:0BBB,Introduction to Abstract Algebra I,Instructors:Yangbo Ye(Primary Instructor),MWF,12:30P - 1:20P,,,,0,1.0,1.0,0.5,0.5
MATH:3720:0B03,Introduction to Abstract Algebra I,Instructors:Yangbo Ye(Course Supervisor),Th,12:30P - 1:20P,,,"24, TA",1,1.0,1.0,0.5,0.5
MATH:3720:0B04,Introduction to Abstract Algebra I,Instructors:Yangbo Ye(Course Supervisor),Th,5:00P - 5:50P,,,"24, TA",1,1.0,1.0,0.5,0.5
MATH:3750:0001,Classical Analysis,Instructors:Oguz Durumeric(Primary Instructor),MWThF,10:30A - 11:20A,,,,0,1.0,1.0,0.5,0.5
MATH:3750:0002,Classical Analysis,Instructors:Oguz Durumeric(Primary Instructor),MWThF,9:30A - 10:20A,,,,0,1.0,1.0,0.5,0.5
MATH:3770:0CCC,Fundamental Properties Spaces/Funct  I,Instructors:Lihe Wang(Primary Instructor),MWF,1:30P - 2:20P,,,,0,1.0,1.0,0.5,0.5
MATH:3770:0C03/MATH:4010:0A01,Fundamental Properties Spaces/Funct  I/Basic Analysis,,Th,2:00P - 2:50P,,,"53, TA",1,1.0,1.0,0.5,0.5
MATH:3770:0C06,Fundamental Properties Spaces/Funct  I,,Th,12:30P - 1:20P,,,"53, TA",1,1.0,1.0,0.5,0.5
MATH:3800:0003,Introduction to Numerical Methods,Instructors:Laurent Jay(Primary Instructor),MWF,10:30A - 11:20A,,,,0,1.0,1.0,0.5,0.5
MATH:3800:0004,Introduction to Numerical Methods,Instructors:Laurent Jay(Primary Instructor),MWF,11:30A - 12:20P,,,,0,1.0,1.0,0.5,0.5
MATH:3996:0IND,Individual Study & Honors in Mathematics,,,,,,,0,1.0,1.0,0.5,0.5
MATH:3997:0IND,Readings in Mathematics,,,,,,,0,1.0,1.0,0.5,0.5
MATH:4010:0AAA,Basic Analysis,Instructors:Lihe Wang(Primary Instructor),MWF,1:30P - 2:20P,,,,0,1.0,1.0,0.5,0.5
MATH:4010:0A01,Basic Analysis,,Th,2:00P - 2:50P,,,,0,1.0,1.0,0.5,0.5
MATH:4020:0BBB,Basic Abstract Algebra,Instructors:Yangbo Ye(Primary Instructor),MWF,12:30P - 1:20P,,,,0,1.0,1.0,0.5,0.5
MATH:4020:0B03,Basic Abstract Algebra,Instructors:Yangbo Ye(Course Supervisor),Th,12:30P - 1:20P,,,,0,1.0,1.0,0.5,0.5
MATH:4050:0001,Introduction to Discrete Mathematics,Instructors:Olga Sokratova(Primary Instructor),MWF,10:30A - 11:20A,,,,0,1.0,1.0,0.5,0.5
MATH:4090:0AAA,A Rigorous Intro to Abstract Algebra,Instructors:Ryan Kinser(Primary Instructor),MWF,11:30A - 12:20P,,,,0,1.0,1.0,0.5,0.5
MATH:4090:0A01,A Rigorous Intro to Abstract Algebra,Instructors:Ryan Kinser(Course Supervisor),T,11:00A - 11:50A,,,,0,1.0,1.0,0.5,0.5
MATH:4200:0001,Complex Variables,Instructors:Hao Fang(Primary Instructor),MWF,9:30A - 10:20A,,,,0,1.0,1.0,0.5,0.5
MATH:4250:0001,Introduction to Financial Mathematics,Instructors:Palle Jorgensen(Primary Instructor),MWF,3:30P - 4:20P,,,,0,1.0,1.0,0.5,0.5
MATH:5000:0AAA,Abstract Algebra I,Instructors:Ryan Kinser(Primary Instructor),MWF,11:30A - 12:20P,,,,0,1.0,1.0,1.0,0.5
MATH:5000:0A01/MATH:4090:0A01,Abstract Algebra I/A Rigorous Intro to Abstract Algebra,Instructors:Ryan Kinser(Course Supervisor),T,11:00A - 11:50A,,,"01, TA",1,1.0,1.0,1.0,0.5
MATH:5200:0AAA,Introduction to Analysis I,Instructors:Raul Curto(Primary Instructor),MWF,2:30P - 3:20P,,,,0,1.0,1.0,1.0,0.5
MATH:5200:0A01,Introduction to Analysis I,,Th,8:30A - 9:20A,,,"16, TA",1,1.0,1.0,1.0,0.5
MATH:5400:0AAA,Fundamental Groups and Covering Spaces,Instructors:Keiko Kawamuro(Primary Instructor),MWF,10:30A - 11:20A,,,,0,1.0,1.0,1.0,0.5
MATH:5400:0A01,Fundamental Groups and Covering Spaces,,Th,11:00A - 11:50A,,,"32, TA",1,1.0,1.0,1.0,0.5
MATH:5600:0AAA,Nonlinear Dynamics with Numerical Methds,Instructors:Yangyang Wang(Primary Instructor),MWF,1:30P - 2:20P,,,,0,1.0,1.0,1.0,0.5
MATH:5600:0A01,Nonlinear Dynamics with Numerical Methds,Instructors:Yangyang Wang(Course Supervisor),T,2:00P - 2:50P,,,"34, TA",1,1.0,1.0,1.0,0.5
MATH:5750:0AAA,Mathematical Biology I,"Instructors:Rodica Curtu(Primary Instructor),Colleen Mitchell(Team Teacher),Yangyang Wang(Team Teacher)",MWF,12:30P - 1:20P,,,,0,1.0,1.0,1.0,0.5
MATH:5750:0A01,Mathematical Biology I,"Instructors:Rodica Curtu(Course Supervisor),Colleen Mitchell(Course Supervisor),Yangyang Wang(Course Supervisor)",Th,9:30A - 10:20A,,,"34, TA",1,1.0,1.0,1.0,0.5
MATH:5800:0AAA,Numerical Methods I,Instructors:Bruce Ayati(Primary Instructor),MWF,9:30A - 10:20A,,,,0,1.0,1.0,1.0,0.5
MATH:5800:0A01,Numerical Methods I,Instructors:Bruce Ayati(Course Supervisor),T,9:30A - 10:20A,,,"19, TA",1,1.0,1.0,1.0,0.5
MATH:5900:0001,First-Year Graduate Seminar,Instructors:Ryan Kinser(Primary Instructor),F,3:30P - 4:20P,,,,0,1.0,1.0,1.0,0.5
MATH:6000:0001,Categories and Modules,Instructors:Frauke Bleher(Primary Instructor),TTh,12:30P - 1:45P,,,,0,1.0,1.0,1.0,1.0
MATH:6200:0001,Analysis I,Instructors:Palle Jorgensen(Primary Instructor),MWF,2:30P - 3:20P,,,,0,1.0,1.0,1.0,1.0
MATH:6400:0001,Algebraic Topology,Instructors:Mohammad Farajzadeh Tehrani(Primary Instructor),MWF,11:30A - 12:20P,,,,0,1.0,1.0,1.0,1.0
MATH:6500:0001,Differential Geometry I,Instructors:Hao Fang(Primary Instructor),MWF,10:30A - 11:20A,,,,0,1.0,1.0,1.0,1.0
MATH:6700:0001,Partial Differential Equations I,Instructors:Lihe Wang(Primary Instructor),MWF,10:30A - 11:20A,,,,0,1.0,1.0,1.0,1.0
MATH:7030:0001,Topics in Algebra,Instructors:Frauke Bleher(Primary Instructor),TTh,11:00A - 12:15P,,,,0,1.0,1.0,1.0,1.0
MATH:7070:0001,Seminar: Algebra,,M,3:30P - 4:20P,,,,0,1.0,1.0,1.0,1.0
MATH:7090:0001,Seminar: Representation Theory,"Instructors:Muthu Krishnamurthy(Primary Instructor),Yangbo Ye(Team Teacher)",,,,,,0,1.0,1.0,1.0,1.0
MATH:7200:0001,Functional Analysis I,Instructors:Ionut Chifan(Primary Instructor),TTh,9:30A - 10:45A,,,,0,1.0,1.0,1.0,1.0
MATH:7290:0001,Seminar: Operator Theory,"Instructors:Richard Baker(Primary Instructor),Sergii Bezuglyi(Team Teacher),Ionut Chifan(Team Teacher)more...",T,1:30P - 2:20P,,,,0,1.0,1.0,1.0,1.0
MATH:7400:0001,Current Geometry and Topology I,,MWF,12:30P - 1:20P,,,,0,1.0,1.0,1.0,1.0
MATH:7470:0001,Seminar: Topology,"Instructors:Ben Cooper(Primary Instructor),Isabel Darcy(Team Teacher),Mohammad Farajzadeh Tehrani(Team Teacher)more...",TTh,2:00P - 3:15P,,,,0,1.0,1.0,1.0,1.0
MATH:7570:0001,Seminar: Differential Geometry,"Instructors:Oguz Durumeric(Primary Instructor),Hao Fang(Team Teacher),Mohammad Farajzadeh Tehrani(Team Teacher)more...",,,,,,0,1.0,1.0,1.0,1.0
MATH:7580:0001,Seminar: Mathematical Physics,Instructors:Palle Jorgensen(Primary Instructor),T,2:30P - 3:20P,,,,0,1.0,1.0,1.0,1.0
MATH:7670:0001,Seminar: Mathematical Biology,"Instructors:Zahra Aminzare(Primary Instructor),Bruce Ayati(Team Teacher),Rodica Curtu(Team Teacher)more...",M,3:30P - 4:20P,,,,0,1.0,1.0,1.0,1.0
MATH:7770:0001,Seminar: Partial Differential Equations,"Instructors:Tong Li(Primary Instructor),Colleen Mitchell(Team Teacher),Lihe Wang(Team Teacher)more...",W,3:30P - 5:20P,,,,0,1.0,1.0,1.0,1.0
MATH:7830:0001,Topics in Applied Mathematics,Instructors:Xueyu Zhu(Primary Instructor),MWF,10:30A - 11:20A,,,,0,1.0,1.0,1.0,1.0
MATH:7870:0001,Seminar: Numerical Analysis,"Instructors:Bruce Ayati(Primary Instructor),Weimin Han(Team Teacher),Laurent Jay(Team Teacher)more...",T,11:00A - 11:50A,,,,0,1.0,1.0,1.0,1.0
MATH:7990:0IND,Reading Research,,,,,,,0,1.0,1.0,1.0,1.0
