course_number,course_name,times,days,instructors
MATH:1850:0F14,Calculus I,11:00A - 11:50A,TTh,"Instructors:Nicholas Cecil(Primary Instructor),Richard Baker(Course Supervisor)"
MATH:1850:0MMM,Calculus I,10:30A - 11:20A,MWF,"Instructors:Rodica Curtu(Primary Instructor)"
MATH:1850:0M30,Calculus I,2:00P - 2:50P,TTh,"Instructors:Samantha Warren(Primary Instructor),Rodica Curtu(Course Supervisor)"
MATH:1850:0M31,Calculus I,3:30P - 4:20P,TTh,"Instructors:Samantha Warren(Primary Instructor),Rodica Curtu(Course Supervisor)"
MATH:1860:0AAA,Calculus II,8:30A - 9:20A,MWF,"Instructors:Colleen Mitchell(Primary Instructor)"
MATH:1860:0A01,Calculus II,9:30A - 10:20A,TTh,"Instructors:Yariana Diaz(Primary Instructor),Colleen Mitchell(Course Supervisor)"
MATH:1860:0A02,Calculus II,5:00P - 5:50P,TTh,"Instructors:Yariana Diaz(Primary Instructor),Colleen Mitchell(Course Supervisor)"
MATH:1860:0BBB,Calculus II,9:30A - 10:20A,MWF,"Instructors:Colleen Mitchell(Primary Instructor)"
MATH:1860:0B03,Calculus II,9:30A - 10:20A,TTh,"Instructors:Mitch Riley(Primary Instructor),Colleen Mitchell(Course Supervisor)"
MATH:1860:0B04,Calculus II,11:00A - 11:50A,TTh,"Instructors:Mitch Riley(Primary Instructor),Colleen Mitchell(Course Supervisor)"
MATH:1860:0FFF,Calculus II,11:30A - 12:20P,MWF,"Instructors:Keiko Kawamuro(Primary Instructor)"
MATH:1860:0F10,Calculus II,12:30P - 1:20P,TTh,"Instructors:Casey Stone(Primary Instructor),Keiko Kawamuro(Course Supervisor)"
MATH:1860:0F11,Calculus II,2:00P - 2:50P,TTh,"Instructors:Casey Stone(Primary Instructor),Keiko Kawamuro(Course Supervisor)"
MATH:2550:0001,Engineering Math III: Matrix Algebra,12:30P - 1:20P,MW,"Instructors:Miodrag Iovanov(Primary Instructor)"
MATH:2550:0101,Engineering Math III: Matrix Algebra,1:30P - 2:20P,MW,"Instructors:Miodrag Iovanov(Primary Instructor)"
MATH:2550:0121,Engineering Math III: Matrix Algebra,11:30A - 12:20P,MW,"Instructors:Raul Curto(Primary Instructor)"
MATH:2560:0081,Engineer Math IV: Differential Equations,12:30P - 1:20P,MWF,"NA"
MATH:2560:0093,Engineer Math IV: Differential Equations,9:30A - 10:20A,MWF,"Instructors:Xueyu Zhu(Primary Instructor)"
MATH:2560:0101,Engineer Math IV: Differential Equations,11:30A - 12:20P,MWF,"NA"
MATH:2560:0102,Engineer Math IV: Differential Equations,11:30A - 12:20P,MWF,"Instructors:Isabel Darcy(Primary Instructor)"
MATH:2560:0103,Engineer Math IV: Differential Equations,8:30A - 9:20A,MWF,"Instructors:Isabel Darcy(Primary Instructor)"
MATH:2560:0104,Engineer Math IV: Differential Equations,10:30A - 11:20A,MWF,"NA"
MATH:2560:0121,Engineer Math IV: Differential Equations,9:30A - 10:20A,MWF,"Instructors:Isabel Darcy(Primary Instructor)"
MATH:2560:0131,Engineer Math IV: Differential Equations,2:30P - 3:20P,MWF,"Instructors:Olga Sokratova(Primary Instructor)"
MATH:2560:0132,Engineer Math IV: Differential Equations,1:30P - 2:20P,MWF,"Instructors:Olga Sokratova(Primary Instructor)"
MATH:2700:0101,Introduction to Linear Algebra,4:30P - 5:20P,MWThF,"Instructors:David Stewart(Primary Instructor)"
MATH:2700:0111,Introduction to Linear Algebra,1:30P - 2:20P,MWThF,"Instructors:David Stewart(Primary Instructor)"
MATH:2700:0112,Introduction to Linear Algebra,2:30P - 3:20P,MWThF,"Instructors:David Stewart(Primary Instructor)"
MATH:2850:0091,Calculus III,9:30A - 10:20A,MWThF,"Instructors:Oguz Durumeric(Primary Instructor)"
MATH:2850:0101,Calculus III,10:30A - 11:20A,MWThF,"Instructors:Oguz Durumeric(Primary Instructor)"
MATH:3550:0102,Engineering Math V: Vector Calculus,10:30A - 11:20A,MWF,"Instructors:Bruce Ayati(Primary Instructor)"
MATH:3550:0121,Engineering Math V: Vector Calculus,11:30A - 12:20P,MWF,"Instructors:Tong Li(Primary Instructor)"
MATH:3550:0231,Engineering Math V: Vector Calculus,12:30P - 1:20P,MWF,"Instructors:Tong Li(Primary Instructor)"
MATH:3600:0001,Intro to Ordinary Differential Equations,2:30P - 3:20P,MWF,"Instructors:Yangyang Wang(Primary Instructor)"
MATH:3720:0BBB,Introduction to Abstract Algebra I,12:30P - 1:20P,MWF,"Instructors:Yangbo Ye(Primary Instructor)"
MATH:3720:0B03,Introduction to Abstract Algebra I,12:30P - 1:20P,Th,"Instructors:Cody Gilbert(Primary Instructor),Yangbo Ye(Course Supervisor)"
MATH:3720:0B04,Introduction to Abstract Algebra I,5:00P - 5:50P,Th,"Instructors:Cody Gilbert(Primary Instructor),Yangbo Ye(Course Supervisor)"
MATH:3750:0001,Classical Analysis,10:30A - 11:20A,MWThF,"Instructors:Oguz Durumeric(Primary Instructor)"
MATH:3750:0002,Classical Analysis,9:30A - 10:20A,MWThF,"Instructors:Oguz Durumeric(Primary Instructor)"
MATH:3770:0CCC,Fundamental Properties Spaces/Funct  I,1:30P - 2:20P,MWF,"Instructors:Lihe Wang(Primary Instructor)"
